i,real_index,MAE,Phi,SMI
391,566,0.19433620,80.56637964,CC(C)OC=C
392,6706,0.37765376,62.23462404,N=C1NC(=N)C=C1
393,6432,0.21115103,78.88489677,NCC1(F)CC1F
394,2969,0.24573668,75.42633163,CN(C)CCC#C
395,5153,0.21320908,78.67909198,CC(C=NN)=NN
396,843,0.22772908,77.22709159,CC(=O)C(N)=N
397,8253,0.22917164,77.08283569,CC1=CCCC1=C
398,547,0.21903606,78.09639432,CN(C)CCN
399,1145,0.30893757,69.10624278,ONC(=N)NO
400,3447,0.24227265,75.77273458,CC(C)C#CCO
401,3138,0.21475277,78.52472320,NC(=O)NOC=O
402,5155,0.24253682,75.74631762,CC(C=NN)=NO
403,6923,0.19328609,80.67139077,Nc1cc(O)on1
404,443,0.32172096,67.82790446,C1CC=NO1
405,4010,0.18953878,81.04612196,NCC(O)CC#C
406,4299,0.20343635,79.65636527,CCCC(=O)NO
407,1497,0.28613755,71.38624486,Cn1ccnc1
408,4873,0.19490211,80.50978867,CC(C=NN)C#C
409,7590,0.19233609,80.76639066,O=C1NCCC=C1
410,4688,0.20211862,79.78813789,C=CCC(=O)C#C
411,5193,0.18421683,81.57831688,CCC=C(F)CF
412,4900,0.18277929,81.72207075,NN=CC(=C)CO
413,6491,0.30008911,69.99108944,FC(F)(F)C1CC1
414,1441,0.20104424,79.89557582,CC1COC=C1
415,7986,0.27718924,72.28107630,Oc1n[nH]nc1O
416,3207,0.19505145,80.49485470,CC(=C)CC=CF
417,8365,0.20392510,79.60749030,Oc1ccnn1O
418,3527,0.33331497,66.66850296,NC(=O)C#CC#C
419,6191,0.33968281,66.03171919,CC(C)=C(C)C#N
420,5877,0.21131162,78.86883841,CNC(=O)N(C)C
421,5773,0.21956423,78.04357691,NC(=O)C(F)C#C
422,3504,0.18387817,81.61218266,OCC#CC(F)=C
423,1613,0.25229022,74.77097797,Fc1cn[nH]c1
424,5807,0.20058669,79.94133090,FCC(=O)C(F)F
425,8549,0.19371706,80.62829408,Oc1ncoc1O
426,3780,0.18540315,81.45968494,CC1C(F)C1(C)O
427,723,0.23741908,76.25809176,CC(=C)C=NN
428,7647,0.22953146,77.04685381,N=c1nc[nH]nn1
429,5646,0.23320601,76.67939891,CNN(C)C(C)=N
430,7307,0.27914117,72.08588282,NC(=N)NC1CC1
431,6258,0.23697439,76.30256110,CC1(CN)COC1
432,3530,0.23385229,76.61477066,CCCC=C(C)C
433,13,1.30938995,-30.93899487,C#C
434,3001,0.16624649,83.37535062,COCCC(N)=N
435,6397,0.20567401,79.43259868,NC1(CO)CC1O
436,1653,0.24654527,75.34547292,NC1C(N)C1F
437,8558,0.20505128,79.49487191,Cc1onnc1F
438,3802,0.23917810,76.08218955,NC1C(O)C1(F)F
439,1008,0.24248099,75.75190079,FCC(F)C#N
440,5256,0.18325932,81.67406805,CC(CN)=NN=C
441,1332,0.21981717,78.01828293,CC1COC1C
442,8567,0.42878675,57.12132540,Cc1nnoc1F
443,6462,0.23884512,76.11548767,CC(O)C1(N)CC1
444,8704,0.23388929,76.61107101,CC12CN=CN1C2
